sequences	seq1_unique	seq2_unique	overlap
SRR1642053/SRR1642051	9464	19685	38322
sequences	seq1_unique	seq2_unique	overlap
SRR1642054/SRR1642052	5981	4957	3130
sequences	seq1_unique	seq2_unique	overlap
SRR1642056/SRR1642057	2196	1128	419
sequences	seq1_unique	seq2_unique	overlap
SRR1642059/SRR1642058	2144	1247	1258
sequences	seq1_unique	seq2_unique	overlap
dmso/rif	2635	2708	2008
